supplier_id,supplier_name,contact_person,email,phone,agreement_status,last_audit_score,notes
SUP-017,Zenith Zippers,Quinn Gold,zenithzippers@example.com,+1-555-109-8765,Active,82,Specialized fastening solutions.
SUP-018,Alpha Alloys,Rachel Silver,alphaalloys@example.com,+1-555-654-3210,Active,93,High-performance alloy casting.
SUP-019,Beta Bearings,Sam Bronze,betabearings@example.com,+1-555-098-7654,Active,88,Industrial bearings and components.
SUP-020,Gamma Gears,Tina Copper,gammagears@example.com,+1-555-543-2109,Active,89,Custom gear manufacturing.
SUP-021,Delta Drives,Uma Iron,deltadrives@example.com,+1-555-987-0123,Active,91,Power transmission systems.
SUP-022,Epsilon Engines,Victor Steel,epsilonengines@example.com,+1-555-234-7890,Active,92,Small engine components.
SUP-023,Zeta Zappers,Wendy Lead,zetazappers@example.com,+1-555-876-1234,Active,84,Electrical connectors and wiring.
SUP-024,Eta Elements,Xavier Zinc,etaelements@example.com,+1-555-345-8901,Active,87,Rare earth elements and magnets.
SUP-025,Theta Tools,Yara Nickel,thetatools@example.com,+1-555-901-4567,Active,90,Specialty tools and equipment.
SUP-026,Iota Innovations,Zane Platinum,iotainnovations@example.com,+1-555-123-7890,Active,95,Cutting-edge R&D and prototyping.
SUP-027,Kappa Kits,Anna Aluminum,kappakits@example.com,+1-555-678-0123,Active,88,Assembly kits and sub-assemblies.
SUP-028,Lambda Labs,Ben Copper,lambdalabs@example.com,+1-555-012-4567,Active,91,Testing and analytical services.
SUP-029,Mu Motors,Chloe Iron,mumotors@example.com,+1-555-567-8901,Active,92,Electric motors and actuators.
SUP-030,Nu Nuts,David Steel,nunuts@example.com,+1-555-987-6543,Active,85,Fasteners and hardware.
SUP-031,Xi Xylophones,Emily Lead,xixylophones@example.com,+1-555-432-1098,Active,80,Acoustic dampening materials.
SUP-032,Omicron Optics,Fred Zinc,omicronoptics@example.com,+1-555-876-5432,Active,89,Lenses and optical systems.
SUP-033,Pi Pipes,Gina Nickel,pipipes@example.com,+1-555-210-9876,Active,86,Piping and fluid transfer.
SUP-034,Rho Robotics,Henry Platinum,rhorobotics@example.com,+1-555-765-4321,Active,94,Robotic components and integration.
SUP-035,Sigma Sensors,Isla Aluminum,sigmasensors@example.com,+1-555-109-8765,Active,90,Advanced sensor technology.
SUP-036,Tau Tubes,Jacob Bronze,tautubes@example.com,+1-555-654-3210,Active,87,Tubing and conduit solutions.
SUP-037,Upsilon Units,Kate Copper,upsilonunits@example.com,+1-555-098-7654,Active,88,Modular units and enclosures.
SUP-038,Phi Filters,Liam Iron,phifilters@example.com,+1-555-543-2109,Active,91,Filtration systems and media.
SUP-039,Chi Chains,Maya Steel,chichains@example.com,+1-555-987-0123,Active,89,Industrial chains and sprockets.
SUP-040,Psi Pumps,Noah Lead,psipumps@example.com,+1-555-234-7890,Active,92,Fluid handling pumps.
SUP-041,Omega Ovens,Olivia Zinc,omegaovens@example.com,+1-555-876-1234,Active,85,Industrial heating solutions.
SUP-042,Acme Adhesives,Peter Nickel,acmeadhesives@example.com,+1-555-345-8901,Active,88,Industrial adhesives and sealants.
SUP-043,Best Bearings,Quinn Platinum,bestbearings@example.com,+1-555-901-4567,Active,93,High-performance bearings.
SUP-044,Central Castings,Rachel Aluminum,centralcastings@example.com,+1-555-123-7890,Active,86,Precision metal casting.
SUP-045,Dynamic Drills,Sam Bronze,dynamicdrills@example.com,+1-555-678-0123,Active,89,Drilling and cutting tools.
SUP-046,Evergreen Electronics,Tina Copper,evergreenelectronics@example.com,+1-555-012-4567,Active,90,Sustainable electronic components.
SUP-047,Fasteners First,Uma Iron,fastenersfirst@example.com,+1-555-567-8901,Active,87,Comprehensive fastener solutions.
SUP-048,Global Gaskets,Victor Steel,globalgaskets@example.com,+1-555-987-6543,Active,91,Custom gaskets and seals.
SUP-049,Hydro Hydraulics,Wendy Lead,hydrohydraulics@example.com,+1-555-432-1098,Active,92,Hydraulic systems and components.
SUP-050,Industrial Insulators,Xavier Zinc,industrialinsulators@example.com,+1-555-876-5432,Active,84,Thermal and electrical insulation.
SUP-051,Joint Ventures,Yara Nickel,jointventures@example.com,+1-555-210-9876,Active,88,Specialized joint and coupling solutions.
SUP-052,Kinetic Kits,Zane Platinum,kinetickits@example.com,+1-555-765-4321,Active,90,Motion control kits.
SUP-053,Linear Logic,Anna Aluminum,linearlogic@example.com,+1-555-109-8765,Active,86,Linear motion systems.
SUP-054,Mega Motors,Ben Copper,megamotors@example.com,+1-555-654-3210,Active,93,High-torque electric motors.
SUP-055,New Age Nuts,Chloe Iron,newagenuts@example.com,+1-555-098-7654,Active,89,Advanced nut and bolt solutions.
SUP-056,Optical Optics,David Steel,opticaloptics@example.com,+1-555-543-2109,Active,94,Precision optical instruments.
SUP-057,Power Pumps,Emily Lead,powerpumps@example.com,+1-555-987-0123,Active,91,High-pressure pumping systems.
SUP-058,Quality Quench,Fred Zinc,qualityquench@example.com,+1-555-234-7890,Active,88,Heat treatment and quenching services.
SUP-059,Reliable Robotics,Gina Nickel,reliablerobotics@example.com,+1-555-876-1234,Active,95,Robotic arms and end effectors.
SUP-060,Sensor Solutions,Henry Platinum,sensorsolutions@example.com,+1-555-345-8901,Active,90,Custom sensor development.
SUP-061,Thermal Technologies,Isla Aluminum,thermaltechnologies@example.com,+1-555-901-4567,Active,87,Thermal management solutions.
SUP-062,Ultimate Units,Jacob Bronze,ultimateunits@example.com,+1-555-123-7890,Active,88,Integrated modular units.
SUP-063,Valve Vision,Kate Copper,valvevision@example.com,+1-555-678-0123,Active,91,Fluid control valves.
SUP-064,Wire Wizards,Liam Iron,wirewizards@example.com,+1-555-012-4567,Active,86,Custom wiring harnesses.
SUP-065,Xenon X-Rays,Maya Steel,xenonxrays@example.com,+1-555-567-8901,Active,92,X-ray inspection systems.
SUP-066,Yield Yielders,Noah Lead,yieldyielders@example.com,+1-555-987-6543,Active,89,Productivity and yield optimization.
SUP-067,Zero Zest,Olivia Zinc,zerozest@example.com,+1-555-432-1098,Active,85,Eco-friendly industrial cleaners.
SUP-068,Advance Alloys,Peter Nickel,advancealloys@example.com,+1-555-876-5432,Active,93,Advanced alloy development.
SUP-069,Bright Bearings,Quinn Platinum,brightbearings@example.com,+1-555-210-9876,Active,88,Low-friction bearings.
SUP-070,Core Components,Rachel Aluminum,corecomponents@example.com,+1-555-765-4321,Active,90,Essential industrial components.
SUP-071,Digital Drives,Sam Bronze,digitaldrives@example.com,+1-555-109-8765,Active,91,Digital motor control systems.
SUP-072,Eco-Friendly Enclosures,Tina Copper,ecofriendlyenclosures@example.com,+1-555-654-3210,Active,87,Sustainable enclosure solutions.
SUP-073,Fluid Flow Filters,Uma Iron,fluidflowfilters@example.com,+1-555-098-7654,Active,88,High-efficiency fluid filters.
SUP-074,Gear Gurus,Victor Steel,geargurus@example.com,+1-555-543-2109,Active,92,Expert gear design and manufacturing.
SUP-075,Heat Handlers,Wendy Lead,heathandlers@example.com,+1-555-987-0123,Active,85,Industrial heat exchangers.
SUP-076,Infra Integrators,Xavier Zinc,infraintegrators@example.com,+1-555-234-7890,Active,89,Infrastructure integration services.
SUP-077,Jig Jockeys,Yara Nickel,jigjockeys@example.com,+1-555-876-1234,Active,86,Custom jigs and fixtures.
SUP-078,Key Connectors,Zane Platinum,keyconnectors@example.com,+1-555-345-8901,Active,94,Critical electrical connectors.
SUP-079,Laser Light Labs,Anna Aluminum,laserlightlabs@example.com,+1-555-901-4567,Active,90,Laser cutting and engraving services.
SUP-080,Material Masters,Ben Copper,materialmasters@example.com,+1-555-123-7890,Active,87,Specialty material sourcing.
SUP-081,Nano Networks,Chloe Iron,nanonetworks@example.com,+1-555-678-0123,Active,91,Nanotechnology components.
SUP-082,Opti-Flow,David Steel,optiflow@example.com,+1-555-012-4567,Active,88,Optimized fluid flow systems.
SUP-083,Precision Parts,Emily Lead,precisionparts@example.com,+1-555-567-8901,Active,93,High-tolerance machined parts.
SUP-084,Quick Quads,Fred Zinc,quickquads@example.com,+1-555-987-6543,Active,86,Rapid assembly of quadcopters.
SUP-085,Robo-Solutions,Gina Nickel,robosolutions@example.com,+1-555-432-1098,Active,95,Comprehensive robotics solutions.
SUP-086,Smart Sensors,Henry Platinum,smartsensors@example.com,+1-555-876-5432,Active,90,IoT-enabled sensors.
SUP-087,Tool Titans,Isla Aluminum,tooltitans@example.com,+1-555-210-9876,Active,87,Heavy-duty industrial tools.
SUP-088,Universal Units,Jacob Bronze,universalunits@example.com,+1-555-765-4321,Active,88,Versatile modular components.
SUP-089,Vortex Valves,Kate Copper,vortexvalves@example.com,+1-555-109-8765,Active,91,High-performance industrial valves.
SUP-090,Welding Wonders,Liam Iron,weldingwonders@example.com,+1-555-654-3210,Active,89,Specialized welding services.
SUP-091,Xtreme X-Ray,Maya Steel,xtremexray@example.com,+1-555-098-7654,Active,92,High-resolution X-ray imaging.
SUP-092,Yellow Yield,Noah Lead,yellowyield@example.com,+1-555-543-2109,Active,85,Crop yield optimization solutions.
SUP-093,Zippy Zaps,Olivia Zinc,zippyzaps@example.com,+1-555-987-0123,Active,88,Fast and efficient electrical components.
SUP-094,Aero Alloys,Peter Nickel,aeroalloys@example.com,+1-555-234-7890,Active,93,Aerospace-grade alloys.
SUP-095,Bolt Busters,Quinn Platinum,boltbusters@example.com,+1-555-876-1234,Active,86,Heavy-duty bolt removal tools.
SUP-096,Cable Kings,Rachel Aluminum,cablekings@example.com,+1-555-345-8901,Active,89,Industrial cabling solutions.
SUP-097,Drive Dynamics,Sam Bronze,drivedynamics@example.com,+1-555-901-4567,Active,90,Advanced drive systems.
SUP-098,Energy Enablers,Tina Copper,energyenablers@example.com,+1-555-123-7890,Active,87,Energy-efficient industrial solutions.
SUP-099,Filter Force,Uma Iron,filterforce@example.com,+1-555-678-0123,Active,88,High-capacity filtration systems.
SUP-100,Gear Geniuses,Victor Steel,geargeniuses@example.com,+1-555-012-4567,Active,91,Innovative gear technologies.
